City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Brae,GB,2022-02-01 13:31:17,60.3964,-1.353,44.51,82,58,33.58
214,Kavieng,PG,2022-02-01 13:21:51,-2.5744,150.7967,75.72,88,100,2.89
215,Anekal,IN,2022-02-01 13:31:17,12.7,77.7,80.73,46,5,7.16
216,Vicosa Do Ceara,BR,2022-02-01 13:31:17,-3.5622,-41.0922,83.1,44,66,8.21
217,Tevriz,RU,2022-02-01 13:31:18,57.509,72.4042,3.78,100,94,3.02
218,Luneville,FR,2022-02-01 13:31:18,48.6,6.5,41.58,96,100,18.45
219,Yarmouth,US,2022-02-01 13:31:19,41.7057,-70.2286,37.51,80,100,5.75
220,Mahibadhoo,MV,2022-02-01 13:23:10,3.7833,72.9667,82.74,76,84,15.61
221,Los Llanos De Aridane,ES,2022-02-01 13:31:19,28.6585,-17.9182,66.13,55,18,3.44
222,Bandar-E Lengeh,IR,2022-02-01 13:31:19,26.5579,54.8807,75.31,60,0,13.8
223,Atlantic City,US,2022-02-01 13:31:20,39.3643,-74.4229,30.97,86,100,5.75
224,Flinders,AU,2022-02-01 13:31:20,-34.5833,150.8552,78.19,77,100,11.99
225,Solwezi,ZM,2022-02-01 13:31:20,-12.1688,26.3894,71.67,88,83,3.42
226,Klaksvik,FO,2022-02-01 13:31:21,62.2266,-6.589,34.72,82,99,38.3
227,Kindu,CD,2022-02-01 13:31:21,-2.95,25.95,81.97,59,100,2.35
228,Ushtobe,KZ,2022-02-01 13:31:21,45.2514,77.9838,21.83,88,10,8.39
229,Qinzhou,CN,2022-02-01 13:32:22,21.95,108.6167,48.16,86,100,11.32
230,Benton,US,2022-02-01 13:32:22,36.3334,-94.3335,51.71,84,100,6.91
231,Jalu,LY,2022-02-01 13:32:22,29.0331,21.5482,65.25,27,53,17.85
232,Corumba,BR,2022-02-01 13:32:23,-19.0092,-57.6533,80.51,78,75,4.61
233,Petropavlovsk-Kamchatskiy,RU,2022-02-01 13:32:23,53.0452,158.6483,12.79,92,0,2.24
234,Shediac,CA,2022-02-01 13:30:29,46.2198,-64.5411,3.25,84,0,2.3
235,Vila Do Maio,CV,2022-02-01 13:32:23,15.1333,-23.2167,79.59,83,100,14.36
236,Bambous Virieux,MU,2022-02-01 13:32:24,-20.3428,57.7575,79.21,94,75,20.71
237,Mangan,IN,2022-02-01 13:32:24,27.5167,88.5333,43.56,86,66,5.73
238,Biltine,TD,2022-02-01 13:32:24,14.5333,20.9167,84.24,10,1,8.88
239,Skibbereen,IE,2022-02-01 13:32:25,51.55,-9.2667,53.4,78,34,18.81
240,Kasama,ZM,2022-02-01 13:32:25,-10.2129,31.1808,73.98,70,93,4.09
241,Ilulissat,GL,2022-02-01 13:23:05,69.2167,-51.1,6.82,56,75,16.11
242,The Valley,AI,2022-02-01 13:24:16,18.217,-63.0578,82.26,73,40,9.22
243,Najran,SA,2022-02-01 13:32:26,17.4924,44.1277,84.85,20,27,17.78
244,West Bay,KY,2022-02-01 13:32:26,19.3667,-81.4167,77.0,81,40,3.0
245,Mackay,AU,2022-02-01 13:31:55,-21.15,149.2,78.78,83,43,4.61
246,Lebu,CL,2022-02-01 13:32:26,-37.6167,-73.65,63.45,67,1,10.38
247,Almaznyy,RU,2022-02-01 13:32:27,48.0448,40.045,37.54,95,94,11.72
248,Deoranian,IN,2022-02-01 13:32:27,28.6333,79.4833,57.74,62,0,8.43
249,Dongsheng,CN,2022-02-01 13:32:27,39.8161,109.9776,13.3,36,0,5.57
250,Fosses,FR,2022-02-01 13:32:28,49.0981,2.5096,47.95,96,75,14.97
251,Warmbad,NA,2022-02-01 13:32:28,-28.45,18.7333,87.84,41,100,5.86
252,Nantucket,US,2022-02-01 13:28:59,41.2835,-70.0995,35.96,77,60,19.53
253,Butaritari,KI,2022-02-01 13:32:28,3.0707,172.7902,81.59,76,96,12.59
254,Kavaratti,IN,2022-02-01 13:32:29,10.5669,72.642,81.03,69,5,9.13
255,Les Cayes,HT,2022-02-01 13:32:29,18.2,-73.75,79.12,67,18,5.86
256,Tual,ID,2022-02-01 13:32:29,-5.6667,132.75,83.89,73,100,13.65
257,Okhotsk,RU,2022-02-01 13:32:30,59.3833,143.3,3.92,80,90,16.55
258,Chulym,RU,2022-02-01 13:32:30,55.0997,80.9572,18.79,92,100,11.74
259,Bayan,CN,2022-02-01 13:32:30,46.0833,127.4,-4.05,99,98,4.99
260,Hargeysa,SO,2022-02-01 13:32:31,9.56,44.065,74.7,32,51,16.33
261,Valparaiso,CL,2022-02-01 13:27:42,-33.0393,-71.6273,65.48,79,40,10.36
262,Mgandu,TZ,2022-02-01 13:32:31,-5.95,34.1333,65.17,94,100,6.31
263,Porto Walter,BR,2022-02-01 13:32:31,-8.2686,-72.7439,84.51,54,33,3.36
264,Narsaq,GL,2022-02-01 13:32:32,60.9167,-46.05,16.02,90,85,4.56
265,Rio Grande,BR,2022-02-01 13:29:39,-32.035,-52.0986,77.95,48,0,5.39
266,Sorland,NO,2022-02-01 13:32:32,67.667,12.6934,31.86,56,100,16.53
267,Norman Wells,CA,2022-02-01 13:32:32,65.282,-126.8329,-11.16,77,40,2.3
268,Alofi,NU,2022-02-01 13:32:33,-19.0595,-169.9187,69.69,94,11,1.14
269,Angoram,PG,2022-02-01 13:32:33,-4.0625,144.0661,73.65,98,100,2.15
270,Tezu,IN,2022-02-01 13:32:33,27.9167,96.1667,54.12,96,99,3.42
271,Inhambane,MZ,2022-02-01 13:33:34,-23.865,35.3833,87.78,62,40,10.36
272,Guerrero Negro,MX,2022-02-01 13:33:34,27.9769,-114.0611,57.45,79,92,10.8
273,Akyab,MM,2022-02-01 13:33:35,20.15,92.9,70.77,61,7,12.84
274,Ayr,GB,2022-02-01 13:33:35,55.4627,-4.6339,52.21,76,40,26.46
275,Constantine,DZ,2022-02-01 13:33:35,36.365,6.6147,47.61,57,75,24.16
276,Agadez,NE,2022-02-01 13:33:36,19.75,10.25,67.14,13,0,3.38
277,Clyde River,CA,2022-02-01 13:33:36,70.4692,-68.5914,-21.77,63,100,4.61
278,Aktau,KZ,2022-02-01 13:33:36,43.65,51.2,48.78,67,100,11.45
279,Brunico,IT,2022-02-01 13:33:36,46.7958,11.9364,46.69,62,19,6.04
280,Cuijk,NL,2022-02-01 13:33:37,51.7167,5.8667,48.96,93,100,5.01
281,Plettenberg Bay,ZA,2022-02-01 13:33:37,-34.0527,23.3716,81.18,70,50,5.91
